kode_provinsi,nama_provinsi,jenis_sarana_kesehatan,tahun,jumlah
11,"Prov. Nanggroe Aceh Darussalam","Polindes",2000,2938
11,"Prov. Nanggroe Aceh Darussalam","Polindes",2001,1075
11,"Prov. Nanggroe Aceh Darussalam","Polindes",2002,3358
11,"Prov. Nanggroe Aceh Darussalam","Polindes",2003,0
11,"Prov. Nanggroe Aceh Darussalam","Polindes",2004,1929
11,"Prov. Nanggroe Aceh Darussalam","Polindes",2005,2034
11,"Prov. Nanggroe Aceh Darussalam","Polindes",2006,1473
11,"Prov. Nanggroe Aceh Darussalam","Polindes",2007,1473
11,"Prov. Nanggroe Aceh Darussalam","Polindes",2008,1951
11,"Prov. Nanggroe Aceh Darussalam","Polindes",2009,0
11,"Prov. Nanggroe Aceh Darussalam","Polindes",2010,0
11,"Prov. Nanggroe Aceh Darussalam","Polindes",2011,0
11,"Prov. Nanggroe Aceh Darussalam","Polindes",2012,0
11,"Prov. Nanggroe Aceh Darussalam","Posyandu",2000,5368
11,"Prov. Nanggroe Aceh Darussalam","Posyandu",2001,3412
11,"Prov. Nanggroe Aceh Darussalam","Posyandu",2002,5796
11,"Prov. Nanggroe Aceh Darussalam","Posyandu",2003,4875
11,"Prov. Nanggroe Aceh Darussalam","Posyandu",2004,4875
11,"Prov. Nanggroe Aceh Darussalam","Posyandu",2005,5019
11,"Prov. Nanggroe Aceh Darussalam","Posyandu",2006,5576
11,"Prov. Nanggroe Aceh Darussalam","Posyandu",2007,5576
11,"Prov. Nanggroe Aceh Darussalam","Posyandu",2008,4824
11,"Prov. Nanggroe Aceh Darussalam","Posyandu",2009,7039
11,"Prov. Nanggroe Aceh Darussalam","Posyandu",2010,7039
11,"Prov. Nanggroe Aceh Darussalam","Posyandu",2011,7039
11,"Prov. Nanggroe Aceh Darussalam","Posyandu",2012,7039
11,"Prov. Nanggroe Aceh Darussalam","Puskesmas",2000,219
11,"Prov. Nanggroe Aceh Darussalam","Puskesmas",2001,219
11,"Prov. Nanggroe Aceh Darussalam","Puskesmas",2002,230
11,"Prov. Nanggroe Aceh Darussalam","Puskesmas",2003,240
11,"Prov. Nanggroe Aceh Darussalam","Puskesmas",2004,240
11,"Prov. Nanggroe Aceh Darussalam","Puskesmas",2005,266
11,"Prov. Nanggroe Aceh Darussalam","Puskesmas",2006,274
11,"Prov. Nanggroe Aceh Darussalam","Puskesmas",2007,311
11,"Prov. Nanggroe Aceh Darussalam","Puskesmas",2008,301
11,"Prov. Nanggroe Aceh Darussalam","Puskesmas",2009,309
11,"Prov. Nanggroe Aceh Darussalam","Puskesmas",2010,309
11,"Prov. Nanggroe Aceh Darussalam","Puskesmas",2011,309
11,"Prov. Nanggroe Aceh Darussalam","Puskesmas",2012,309
11,"Prov. Nanggroe Aceh Darussalam","Pustu",2000,762
11,"Prov. Nanggroe Aceh Darussalam","Pustu",2001,778
11,"Prov. Nanggroe Aceh Darussalam","Pustu",2002,821
11,"Prov. Nanggroe Aceh Darussalam","Pustu",2003,824
11,"Prov. Nanggroe Aceh Darussalam","Pustu",2004,739
11,"Prov. Nanggroe Aceh Darussalam","Pustu",2005,733
11,"Prov. Nanggroe Aceh Darussalam","Pustu",2006,0
11,"Prov. Nanggroe Aceh Darussalam","Pustu",2007,0
11,"Prov. Nanggroe Aceh Darussalam","Pustu",2008,843
11,"Prov. Nanggroe Aceh Darussalam","Pustu",2009,919
11,"Prov. Nanggroe Aceh Darussalam","Pustu",2010,919
11,"Prov. Nanggroe Aceh Darussalam","Pustu",2011,919
11,"Prov. Nanggroe Aceh Darussalam","Pustu",2012,919
12,"Prov. Sumatera Utara","Polindes",2000,644
12,"Prov. Sumatera Utara","Polindes",2001,2141
12,"Prov. Sumatera Utara","Polindes",2002,664
12,"Prov. Sumatera Utara","Polindes",2003,2204
12,"Prov. Sumatera Utara","Polindes",2004,2744
12,"Prov. Sumatera Utara","Polindes",2005,2608
12,"Prov. Sumatera Utara","Polindes",2006,644
12,"Prov. Sumatera Utara","Polindes",2007,644
12,"Prov. Sumatera Utara","Polindes",2008,1965
12,"Prov. Sumatera Utara","Polindes",2009,0
12,"Prov. Sumatera Utara","Polindes",2010,0
12,"Prov. Sumatera Utara","Polindes",2011,0
12,"Prov. Sumatera Utara","Polindes",2012,0
12,"Prov. Sumatera Utara","Posyandu",2000,15077
12,"Prov. Sumatera Utara","Posyandu",2001,9904
12,"Prov. Sumatera Utara","Posyandu",2002,15077
12,"Prov. Sumatera Utara","Posyandu",2003,14974
12,"Prov. Sumatera Utara","Posyandu",2004,14974
12,"Prov. Sumatera Utara","Posyandu",2005,13721
12,"Prov. Sumatera Utara","Posyandu",2006,22190
12,"Prov. Sumatera Utara","Posyandu",2007,22190
12,"Prov. Sumatera Utara","Posyandu",2008,5189
12,"Prov. Sumatera Utara","Posyandu",2009,13861
12,"Prov. Sumatera Utara","Posyandu",2010,13861
12,"Prov. Sumatera Utara","Posyandu",2011,13861
12,"Prov. Sumatera Utara","Posyandu",2012,13861
12,"Prov. Sumatera Utara","Puskesmas",2000,399
12,"Prov. Sumatera Utara","Puskesmas",2001,404
12,"Prov. Sumatera Utara","Puskesmas",2002,411
12,"Prov. Sumatera Utara","Puskesmas",2003,388
12,"Prov. Sumatera Utara","Puskesmas",2004,423
12,"Prov. Sumatera Utara","Puskesmas",2005,426
12,"Prov. Sumatera Utara","Puskesmas",2006,445
12,"Prov. Sumatera Utara","Puskesmas",2007,463
12,"Prov. Sumatera Utara","Puskesmas",2008,495
12,"Prov. Sumatera Utara","Puskesmas",2009,500
12,"Prov. Sumatera Utara","Puskesmas",2010,500
12,"Prov. Sumatera Utara","Puskesmas",2011,500
12,"Prov. Sumatera Utara","Puskesmas",2012,500
12,"Prov. Sumatera Utara","Pustu",2000,1766
12,"Prov. Sumatera Utara","Pustu",2001,1782
12,"Prov. Sumatera Utara","Pustu",2002,1789
12,"Prov. Sumatera Utara","Pustu",2003,1578
12,"Prov. Sumatera Utara","Pustu",2004,1883
12,"Prov. Sumatera Utara","Pustu",2005,1784
12,"Prov. Sumatera Utara","Pustu",2006,0
12,"Prov. Sumatera Utara","Pustu",2007,0
12,"Prov. Sumatera Utara","Pustu",2008,1798
12,"Prov. Sumatera Utara","Pustu",2009,1797
12,"Prov. Sumatera Utara","Pustu",2010,1797
12,"Prov. Sumatera Utara","Pustu",2011,1797
12,"Prov. Sumatera Utara","Pustu",2012,1797
13,"Prov. Sumatera Barat","Polindes",2000,1510
13,"Prov. Sumatera Barat","Polindes",2001,1183
13,"Prov. Sumatera Barat","Polindes",2002,1440
13,"Prov. Sumatera Barat","Polindes",2003,1315
13,"Prov. Sumatera Barat","Polindes",2004,733
13,"Prov. Sumatera Barat","Polindes",2005,748
13,"Prov. Sumatera Barat","Polindes",2006,834
13,"Prov. Sumatera Barat","Polindes",2007,834
13,"Prov. Sumatera Barat","Polindes",2008,449
13,"Prov. Sumatera Barat","Polindes",2009,0
13,"Prov. Sumatera Barat","Polindes",2010,0
13,"Prov. Sumatera Barat","Polindes",2011,0
13,"Prov. Sumatera Barat","Polindes",2012,0
13,"Prov. Sumatera Barat","Posyandu",2000,6651
13,"Prov. Sumatera Barat","Posyandu",2001,4447
13,"Prov. Sumatera Barat","Posyandu",2002,6606
13,"Prov. Sumatera Barat","Posyandu",2003,6163
13,"Prov. Sumatera Barat","Posyandu",2004,5978
13,"Prov. Sumatera Barat","Posyandu",2005,4485
13,"Prov. Sumatera Barat","Posyandu",2006,6680
13,"Prov. Sumatera Barat","Posyandu",2007,6680
13,"Prov. Sumatera Barat","Posyandu",2008,913
13,"Prov. Sumatera Barat","Posyandu",2009,6680
13,"Prov. Sumatera Barat","Posyandu",2010,6680
13,"Prov. Sumatera Barat","Posyandu",2011,6680
13,"Prov. Sumatera Barat","Posyandu",2012,6680
13,"Prov. Sumatera Barat","Puskesmas",2000,203
13,"Prov. Sumatera Barat","Puskesmas",2001,203
13,"Prov. Sumatera Barat","Puskesmas",2002,204
13,"Prov. Sumatera Barat","Puskesmas",2003,206
13,"Prov. Sumatera Barat","Puskesmas",2004,210
13,"Prov. Sumatera Barat","Puskesmas",2005,214
13,"Prov. Sumatera Barat","Puskesmas",2006,224
13,"Prov. Sumatera Barat","Puskesmas",2007,228
13,"Prov. Sumatera Barat","Puskesmas",2008,227
13,"Prov. Sumatera Barat","Puskesmas",2009,242
13,"Prov. Sumatera Barat","Puskesmas",2010,242
13,"Prov. Sumatera Barat","Puskesmas",2011,242
13,"Prov. Sumatera Barat","Puskesmas",2012,242
13,"Prov. Sumatera Barat","Pustu",2000,824
13,"Prov. Sumatera Barat","Pustu",2001,837
13,"Prov. Sumatera Barat","Pustu",2002,825
13,"Prov. Sumatera Barat","Pustu",2003,834
13,"Prov. Sumatera Barat","Pustu",2004,815
13,"Prov. Sumatera Barat","Pustu",2005,843
13,"Prov. Sumatera Barat","Pustu",2006,0
13,"Prov. Sumatera Barat","Pustu",2007,0
13,"Prov. Sumatera Barat","Pustu",2008,573
13,"Prov. Sumatera Barat","Pustu",2009,822
13,"Prov. Sumatera Barat","Pustu",2010,822
13,"Prov. Sumatera Barat","Pustu",2011,822
13,"Prov. Sumatera Barat","Pustu",2012,822
14,"Prov. Riau","Polindes",2000,426
14,"Prov. Riau","Polindes",2001,206
14,"Prov. Riau","Polindes",2002,353
14,"Prov. Riau","Polindes",2003,294
14,"Prov. Riau","Polindes",2004,226
14,"Prov. Riau","Polindes",2005,224
14,"Prov. Riau","Polindes",2006,197
14,"Prov. Riau","Polindes",2007,197
14,"Prov. Riau","Polindes",2008,314
14,"Prov. Riau","Polindes",2009,0
14,"Prov. Riau","Polindes",2010,0
14,"Prov. Riau","Polindes",2011,0
14,"Prov. Riau","Polindes",2012,0
14,"Prov. Riau","Posyandu",2000,3955
14,"Prov. Riau","Posyandu",2001,2879
14,"Prov. Riau","Posyandu",2002,4020
14,"Prov. Riau","Posyandu",2003,4281
14,"Prov. Riau","Posyandu",2004,3826
14,"Prov. Riau","Posyandu",2005,3092
14,"Prov. Riau","Posyandu",2006,4333
14,"Prov. Riau","Posyandu",2007,4333
14,"Prov. Riau","Posyandu",2008,1585
14,"Prov. Riau","Posyandu",2009,4679
14,"Prov. Riau","Posyandu",2010,4679
14,"Prov. Riau","Posyandu",2011,4679
14,"Prov. Riau","Posyandu",2012,4679
14,"Prov. Riau","Puskesmas",2000,148
14,"Prov. Riau","Puskesmas",2001,157
14,"Prov. Riau","Puskesmas",2002,167
14,"Prov. Riau","Puskesmas",2003,187
14,"Prov. Riau","Puskesmas",2004,146
14,"Prov. Riau","Puskesmas",2005,150
14,"Prov. Riau","Puskesmas",2006,154
14,"Prov. Riau","Puskesmas",2007,156
14,"Prov. Riau","Puskesmas",2008,183
14,"Prov. Riau","Puskesmas",2009,176
14,"Prov. Riau","Puskesmas",2010,176
14,"Prov. Riau","Puskesmas",2011,176
14,"Prov. Riau","Puskesmas",2012,176
14,"Prov. Riau","Pustu",2000,648
14,"Prov. Riau","Pustu",2001,667
14,"Prov. Riau","Pustu",2002,704
14,"Prov. Riau","Pustu",2003,853
14,"Prov. Riau","Pustu",2004,651
14,"Prov. Riau","Pustu",2005,652
14,"Prov. Riau","Pustu",2006,0
14,"Prov. Riau","Pustu",2007,0
14,"Prov. Riau","Pustu",2008,806
14,"Prov. Riau","Pustu",2009,668
14,"Prov. Riau","Pustu",2010,668
14,"Prov. Riau","Pustu",2011,668
14,"Prov. Riau","Pustu",2012,668
15,"Prov. Jambi","Polindes",2000,64
15,"Prov. Jambi","Polindes",2001,41
15,"Prov. Jambi","Polindes",2002,61
15,"Prov. Jambi","Polindes",2003,77
15,"Prov. Jambi","Polindes",2004,123
15,"Prov. Jambi","Polindes",2005,166
15,"Prov. Jambi","Polindes",2006,77
15,"Prov. Jambi","Polindes",2007,77
15,"Prov. Jambi","Polindes",2008,169
15,"Prov. Jambi","Polindes",2009,0
15,"Prov. Jambi","Polindes",2010,0
15,"Prov. Jambi","Polindes",2011,0
15,"Prov. Jambi","Polindes",2012,0
15,"Prov. Jambi","Posyandu",2000,2963
15,"Prov. Jambi","Posyandu",2001,2975
15,"Prov. Jambi","Posyandu",2002,2556
15,"Prov. Jambi","Posyandu",2003,2622
15,"Prov. Jambi","Posyandu",2004,2974
15,"Prov. Jambi","Posyandu",2005,2268
15,"Prov. Jambi","Posyandu",2006,2882
15,"Prov. Jambi","Posyandu",2007,2882
15,"Prov. Jambi","Posyandu",2008,1266
15,"Prov. Jambi","Posyandu",2009,2992
15,"Prov. Jambi","Posyandu",2010,2992
15,"Prov. Jambi","Posyandu",2011,2992
15,"Prov. Jambi","Posyandu",2012,2992
15,"Prov. Jambi","Puskesmas",2000,126
15,"Prov. Jambi","Puskesmas",2001,123
15,"Prov. Jambi","Puskesmas",2002,130
15,"Prov. Jambi","Puskesmas",2003,127
15,"Prov. Jambi","Puskesmas",2004,47
15,"Prov. Jambi","Puskesmas",2005,135
15,"Prov. Jambi","Puskesmas",2006,140
15,"Prov. Jambi","Puskesmas",2007,148
15,"Prov. Jambi","Puskesmas",2008,158
15,"Prov. Jambi","Puskesmas",2009,163
15,"Prov. Jambi","Puskesmas",2010,163
15,"Prov. Jambi","Puskesmas",2011,163
15,"Prov. Jambi","Puskesmas",2012,163
15,"Prov. Jambi","Pustu",2000,565
15,"Prov. Jambi","Pustu",2001,630
15,"Prov. Jambi","Pustu",2002,628
15,"Prov. Jambi","Pustu",2003,634
15,"Prov. Jambi","Pustu",2004,588
15,"Prov. Jambi","Pustu",2005,575
15,"Prov. Jambi","Pustu",2006,0
15,"Prov. Jambi","Pustu",2007,0
15,"Prov. Jambi","Pustu",2008,595
15,"Prov. Jambi","Pustu",2009,547
15,"Prov. Jambi","Pustu",2010,547
15,"Prov. Jambi","Pustu",2011,547
15,"Prov. Jambi","Pustu",2012,547
16,"Prov. Sumatera Selatan","Polindes",2000,0
16,"Prov. Sumatera Selatan","Polindes",2001,946
16,"Prov. Sumatera Selatan","Polindes",2002,1984
16,"Prov. Sumatera Selatan","Polindes",2003,1991
16,"Prov. Sumatera Selatan","Polindes",2004,1438
16,"Prov. Sumatera Selatan","Polindes",2005,1570
16,"Prov. Sumatera Selatan","Polindes",2006,1499
16,"Prov. Sumatera Selatan","Polindes",2007,1499
16,"Prov. Sumatera Selatan","Polindes",2008,1121
16,"Prov. Sumatera Selatan","Polindes",2009,0
16,"Prov. Sumatera Selatan","Polindes",2010,0
16,"Prov. Sumatera Selatan","Polindes",2011,0
16,"Prov. Sumatera Selatan","Polindes",2012,0
16,"Prov. Sumatera Selatan","Posyandu",2000,7796
16,"Prov. Sumatera Selatan","Posyandu",2001,4289
16,"Prov. Sumatera Selatan","Posyandu",2002,5409
16,"Prov. Sumatera Selatan","Posyandu",2003,6123
16,"Prov. Sumatera Selatan","Posyandu",2004,5902
16,"Prov. Sumatera Selatan","Posyandu",2005,5841
16,"Prov. Sumatera Selatan","Posyandu",2006,5786
16,"Prov. Sumatera Selatan","Posyandu",2007,5786
16,"Prov. Sumatera Selatan","Posyandu",2008,3036
16,"Prov. Sumatera Selatan","Posyandu",2009,5775
16,"Prov. Sumatera Selatan","Posyandu",2010,5775
16,"Prov. Sumatera Selatan","Posyandu",2011,5775
16,"Prov. Sumatera Selatan","Posyandu",2012,5775
16,"Prov. Sumatera Selatan","Puskesmas",2000,227
16,"Prov. Sumatera Selatan","Puskesmas",2001,227
16,"Prov. Sumatera Selatan","Puskesmas",2002,214
16,"Prov. Sumatera Selatan","Puskesmas",2003,235
16,"Prov. Sumatera Selatan","Puskesmas",2004,132
16,"Prov. Sumatera Selatan","Puskesmas",2005,242
16,"Prov. Sumatera Selatan","Puskesmas",2006,249
16,"Prov. Sumatera Selatan","Puskesmas",2007,259
16,"Prov. Sumatera Selatan","Puskesmas",2008,278
16,"Prov. Sumatera Selatan","Puskesmas",2009,284
16,"Prov. Sumatera Selatan","Puskesmas",2010,284
16,"Prov. Sumatera Selatan","Puskesmas",2011,284
16,"Prov. Sumatera Selatan","Puskesmas",2012,284
16,"Prov. Sumatera Selatan","Pustu",2000,865
16,"Prov. Sumatera Selatan","Pustu",2001,879
16,"Prov. Sumatera Selatan","Pustu",2002,853
16,"Prov. Sumatera Selatan","Pustu",2003,891
16,"Prov. Sumatera Selatan","Pustu",2004,903
16,"Prov. Sumatera Selatan","Pustu",2005,914
16,"Prov. Sumatera Selatan","Pustu",2006,0
16,"Prov. Sumatera Selatan","Pustu",2007,0
16,"Prov. Sumatera Selatan","Pustu",2008,914
16,"Prov. Sumatera Selatan","Pustu",2009,937
16,"Prov. Sumatera Selatan","Pustu",2010,937
16,"Prov. Sumatera Selatan","Pustu",2011,937
16,"Prov. Sumatera Selatan","Pustu",2012,937
17,"Prov. Bengkulu","Polindes",2000,653
17,"Prov. Bengkulu","Polindes",2001,507
17,"Prov. Bengkulu","Polindes",2002,653
17,"Prov. Bengkulu","Polindes",2003,711
17,"Prov. Bengkulu","Polindes",2004,636
17,"Prov. Bengkulu","Polindes",2005,542
17,"Prov. Bengkulu","Polindes",2006,653
17,"Prov. Bengkulu","Polindes",2007,653
17,"Prov. Bengkulu","Polindes",2008,217
17,"Prov. Bengkulu","Polindes",2009,0
17,"Prov. Bengkulu","Polindes",2010,0
17,"Prov. Bengkulu","Polindes",2011,0
17,"Prov. Bengkulu","Polindes",2012,0
17,"Prov. Bengkulu","Posyandu",2000,1772
17,"Prov. Bengkulu","Posyandu",2001,1768
17,"Prov. Bengkulu","Posyandu",2002,1520
17,"Prov. Bengkulu","Posyandu",2003,1714
17,"Prov. Bengkulu","Posyandu",2004,1695
17,"Prov. Bengkulu","Posyandu",2005,1712
17,"Prov. Bengkulu","Posyandu",2006,1713
17,"Prov. Bengkulu","Posyandu",2007,1713
17,"Prov. Bengkulu","Posyandu",2008,1326
17,"Prov. Bengkulu","Posyandu",2009,1812
17,"Prov. Bengkulu","Posyandu",2010,1812
17,"Prov. Bengkulu","Posyandu",2011,1812
17,"Prov. Bengkulu","Posyandu",2012,1812
17,"Prov. Bengkulu","Puskesmas",2000,112
17,"Prov. Bengkulu","Puskesmas",2001,112
17,"Prov. Bengkulu","Puskesmas",2002,112
17,"Prov. Bengkulu","Puskesmas",2003,112
17,"Prov. Bengkulu","Puskesmas",2004,250
17,"Prov. Bengkulu","Puskesmas",2005,113
17,"Prov. Bengkulu","Puskesmas",2006,126
17,"Prov. Bengkulu","Puskesmas",2007,140
17,"Prov. Bengkulu","Puskesmas",2008,142
17,"Prov. Bengkulu","Puskesmas",2009,167
17,"Prov. Bengkulu","Puskesmas",2010,167
17,"Prov. Bengkulu","Puskesmas",2011,167
17,"Prov. Bengkulu","Puskesmas",2012,167
17,"Prov. Bengkulu","Pustu",2000,476
17,"Prov. Bengkulu","Pustu",2001,478
17,"Prov. Bengkulu","Pustu",2002,479
17,"Prov. Bengkulu","Pustu",2003,478
17,"Prov. Bengkulu","Pustu",2004,487
17,"Prov. Bengkulu","Pustu",2005,481
17,"Prov. Bengkulu","Pustu",2006,0
17,"Prov. Bengkulu","Pustu",2007,0
17,"Prov. Bengkulu","Pustu",2008,457
17,"Prov. Bengkulu","Pustu",2009,497
17,"Prov. Bengkulu","Pustu",2010,497
17,"Prov. Bengkulu","Pustu",2011,497
17,"Prov. Bengkulu","Pustu",2012,497
18,"Prov. Lampung","Polindes",2000,1087
18,"Prov. Lampung","Polindes",2001,702
18,"Prov. Lampung","Polindes",2002,1142
18,"Prov. Lampung","Polindes",2003,1114
18,"Prov. Lampung","Polindes",2004,712
18,"Prov. Lampung","Polindes",2005,717
18,"Prov. Lampung","Polindes",2006,1062
18,"Prov. Lampung","Polindes",2007,1062
18,"Prov. Lampung","Polindes",2008,385
18,"Prov. Lampung","Polindes",2009,0
18,"Prov. Lampung","Polindes",2010,0
18,"Prov. Lampung","Polindes",2011,0
18,"Prov. Lampung","Polindes",2012,0
18,"Prov. Lampung","Posyandu",2000,6981
18,"Prov. Lampung","Posyandu",2001,3829
18,"Prov. Lampung","Posyandu",2002,6999
18,"Prov. Lampung","Posyandu",2003,6977
18,"Prov. Lampung","Posyandu",2004,6977
18,"Prov. Lampung","Posyandu",2005,7264
18,"Prov. Lampung","Posyandu",2006,7380
18,"Prov. Lampung","Posyandu",2007,7380
18,"Prov. Lampung","Posyandu",2008,2324
18,"Prov. Lampung","Posyandu",2009,7480
18,"Prov. Lampung","Posyandu",2010,7480
18,"Prov. Lampung","Posyandu",2011,7480
18,"Prov. Lampung","Posyandu",2012,7480
18,"Prov. Lampung","Puskesmas",2000,198
18,"Prov. Lampung","Puskesmas",2001,204
18,"Prov. Lampung","Puskesmas",2002,211
18,"Prov. Lampung","Puskesmas",2003,219
18,"Prov. Lampung","Puskesmas",2004,113
18,"Prov. Lampung","Puskesmas",2005,224
18,"Prov. Lampung","Puskesmas",2006,235
18,"Prov. Lampung","Puskesmas",2007,248
18,"Prov. Lampung","Puskesmas",2008,253
18,"Prov. Lampung","Puskesmas",2009,264
18,"Prov. Lampung","Puskesmas",2010,264
18,"Prov. Lampung","Puskesmas",2011,264
18,"Prov. Lampung","Puskesmas",2012,264
18,"Prov. Lampung","Pustu",2000,684
18,"Prov. Lampung","Pustu",2001,685
18,"Prov. Lampung","Pustu",2002,688
18,"Prov. Lampung","Pustu",2003,704
18,"Prov. Lampung","Pustu",2004,704
18,"Prov. Lampung","Pustu",2005,710
18,"Prov. Lampung","Pustu",2006,0
18,"Prov. Lampung","Pustu",2007,0
18,"Prov. Lampung","Pustu",2008,781
18,"Prov. Lampung","Pustu",2009,733
18,"Prov. Lampung","Pustu",2010,733
18,"Prov. Lampung","Pustu",2011,733
18,"Prov. Lampung","Pustu",2012,733
19,"Prov. Kepulauan Bangka Belitung","Polindes",2000,0
19,"Prov. Kepulauan Bangka Belitung","Polindes",2001,69
19,"Prov. Kepulauan Bangka Belitung","Polindes",2002,0
19,"Prov. Kepulauan Bangka Belitung","Polindes",2003,183
19,"Prov. Kepulauan Bangka Belitung","Polindes",2004,197
19,"Prov. Kepulauan Bangka Belitung","Polindes",2005,200
19,"Prov. Kepulauan Bangka Belitung","Polindes",2006,199
19,"Prov. Kepulauan Bangka Belitung","Polindes",2007,199
19,"Prov. Kepulauan Bangka Belitung","Polindes",2008,193
19,"Prov. Kepulauan Bangka Belitung","Polindes",2009,0
19,"Prov. Kepulauan Bangka Belitung","Polindes",2010,0
19,"Prov. Kepulauan Bangka Belitung","Polindes",2011,0
19,"Prov. Kepulauan Bangka Belitung","Polindes",2012,0
19,"Prov. Kepulauan Bangka Belitung","Posyandu",2000,0
19,"Prov. Kepulauan Bangka Belitung","Posyandu",2001,358
19,"Prov. Kepulauan Bangka Belitung","Posyandu",2002,213
19,"Prov. Kepulauan Bangka Belitung","Posyandu",2003,958
